cloak_change,divvierpf_change,min
0.549131739,0.467347911,2
1.616547055,1.166249477,2
1.150220017,1.231901606,1
0.452894086,0.324462301,2
1.030809505,0.57999674,2
1.08819203,1.074736689,1
0.879595057,0.920756393,1
0.590090845,0.422245203,2
1.417779603,1.146227985,2
0.80756804,0.675390754,2
1.018116488,0.757888435,2
1.186200973,1.160767166,2
0.614864321,0.490084902,2
1.055170697,1.040009845,1
1.181476832,1.078641482,1
1.105091275,1.228523378,1
0.355821309,0.217068068,2
0.582946399,0.475293195,2
1.016072727,1.156195073,1
1.358036297,1.41555041,2
0.58591694,0.703983237,2
0.722240802,1.003934752,1
1.021552909,1.230911956,1
0.784776307,0.608983227,1
0.763773655,0.856424907,1
0.877247016,1.369309695,1
0.681522368,0.871750549,1
0.713239383,0.657477588,1
1.019967933,0.983666789,1
0.721522896,0.835747908,1
0.384858165,0.359333564,2
0.844048609,0.710741687,1
0.968041041,1.129296874,1
0.900049647,1.298649895,1
0.755753202,0.796052535,1
0.702146764,0.723441332,2
0.69751753,0.599136234,2
1.028073301,1.007462471,1
1.361503996,1.286160994,2
1.692083502,1.314634163,2
1.483503968,0.995299611,2
1.131449544,0.62467023,2
1.082448449,1.001609704,1
1.160491601,1.280143545,1
2.881588709,2.643237455,2
1.238313892,1.375558499,1
1.522256357,2.128985724,2
1.8836125,2.091934112,2
2.688955173,2.372112856,2
1.281985874,1.209371272,1
1.281311055,1.193134907,1
1.378583092,2.09653309,3
1.098737869,1.228218063,1
1.323310318,1.201902408,2
0.631728001,1.062432893,2
1.350978895,1.253625387,2
1.199690355,1.078762271,1
0.925103091,1.024334309,1
0.983553763,1.241326263,1
0.668478402,0.575589804,2
0.757780343,1.523930721,2
1.07565588,0.725714477,2
0.653073525,0.483997605,3
0.620817891,1.188028685,2
0.953774918,0.965267651,2
1.201579004,0.999066867,2
0.951623703,0.594560427,2
0.558524608,1.046959997,3
0.970855569,1.198767464,1
1.357855531,1.650234533,1
0.887700969,0.74377043,3
0.323927948,0.327966806,3
0.697483432,0.710536216,1
0.730203897,1.371927133,2
0.35529143,0.37804423,2
0.477323549,0.543272308,2
0.325855983,0.326735871,3
0.281409109,0.31306733,3
0.687378403,0.744207009,1
0.59636521,0.600769855,2
0.894906267,1.070232504,1
0.558159959,0.443014308,2
0.653459106,0.849839173,1
0.691640257,0.782944405,1
0.45437108,0.375760702,2
1.240772885,1.429549282,1
0.912437664,0.804131009,2
1.129911613,1.262515265,1
0.557139103,0.457996871,2
1.0912339,0.955561008,1
1.342272711,1.269803438,1
0.78475842,0.578223919,2
0.452623753,0.630378282,3
1.226036644,0.997447649,1
1.054552856,0.526581898,2
1.046659276,0.635200575,2
0.978963819,1.364837691,2
1.183101891,0.936516656,2
0.986091179,0.655718655,2
1.035072316,1.027983571,1
0.869401942,0.582993758,2
0.550550249,0.450925931,2
0.606974717,0.448032241,2
1.234878225,1.468953346,1
0.910672729,0.682761741,2
0.330250589,0.291336729,3
0.697655616,0.360011942,2
0.815407725,0.472329732,2
1.165057631,0.753244656,2
0.43475368,0.44470469,2
0.552582167,0.435420311,2
1.174989711,1.105077381,1
0.755035328,0.635221757,2
0.77316132,0.577419082,2
0.437912297,0.298649314,2
0.978326943,0.642089692,2
0.690957182,0.435348394,2
0.322922461,0.233785759,2
0.5742286,0.303079959,2
1.072040695,1.039688926,1
1.033440656,0.777885518,2
0.692661859,0.616258871,1
0.501309744,0.388258602,2
0.9614437,0.915593027,1
0.620522472,0.473375421,2
0.910096354,0.966722629,1
0.965362368,0.656139476,2
0.431246815,0.14296718,3
0.75743062,0.559925366,2
1.075520927,1.067475328,1
1.162897265,0.974044421,2
0.92506811,0.594467468,2
0.498490114,0.443624837,3
0.850679935,0.899353257,1
0.749872567,0.679762809,2
0.80371799,0.784838095,1
0.981182718,0.878145224,1
0.81153108,0.932347051,1
0.740455307,0.729858909,1
0.665477812,0.573143781,2
1.13020492,1.102474847,1
0.975290937,1.101429162,1
0.150841044,0.300701146,3
0.469789902,0.344022873,2
0.840235704,0.965125759,1
0.612978424,0.53863459,2
0.792002275,0.734074346,1
0.765567328,0.852931263,1
0.999468269,0.99930348,1
1.078305813,1.381934542,1
0.973648242,0.789108718,2
0.694213812,0.708278962,1
0.605112006,0.533894525,2
0.921915981,1.058965048,1
0.985820198,0.961385189,1
0.363873906,0.37813041,3
0.680235337,0.401140138,2
1.054161864,0.785785071,2
1.183259324,1.109239021,1
0.667946145,0.57278498,2
0.508752114,0.502706395,2
0.915787125,0.680517247,2
0.416216646,0.307560677,2
0.766536751,0.625054875,2
0.8933861,0.650491813,2
0.985767739,1.382292075,1
0.476225781,0.435341462,2
0.357968653,0.135397066,3
0.905670099,0.996696262,1
0.783874445,0.562458065,2
1.01342881,1.114068142,2
0.663096125,0.675572095,2
0.40908141,0.356931937,2
0.708110481,0.572228073,1
0.881082004,0.994520692,1
1.189433925,1.114830089,1
1.218248216,1.142690347,1
0.538390766,0.375493609,2
0.609485505,0.487277766,2
1.037540674,0.802999573,2
1.249410063,1.262394724,1
0.856534673,0.896156593,1
1.105433892,1.129010866,1
1.188624156,0.882446807,2
0.387987009,0.282928583,2
0.598760221,0.541710749,2
1.510114732,1.373678388,2
0.406931446,0.278541268,2
0.593727739,0.343618117,2
0.589535346,0.487541519,2
