"variable","value"
"diff1",7
"diff1",40
"diff1",22
"diff1",10
"diff1",125
"diff1",25
"diff1",28
"diff1",-54
"diff1",-92
"diff1",-66
"diff1",103
"diff1",44
"diff1",27
"diff1",-9
"diff1",-9
"diff1",47
"diff1",67
"diff1",89
"diff1",-78
"diff1",-92
"diff1",-16
"diff1",-123
"diff1",120
"diff1",-32
"diff1",-24
"diff1",30
"diff1",-96
"diff1",-26
"diff1",1
"diff1",5
"diff1",-31
"diff1",-11
"diff1",-17
"diff1",-122
"diff1",-1
"diff1",106
"diff1",-126
"diff1",-25
"diff1",21
"diff1",61
"diff1",83
"diff1",68
"diff1",93
"diff1",104
"diff1",11
"diff1",126
"diff1",92
"diff1",18
"diff1",-123
"diff1",-101
"diff1",20
"diff1",41
"diff1",21
"diff1",3
"diff1",77
"diff1",-78
"diff1",124
"diff1",60
"diff1",-2
"diff1",-19
"diff1",7
"diff1",85
"diff1",26
"diff1",22
"diff1",-101
"diff1",-12
"diff1",42
"diff1",62
"diff1",9
"diff1",-72
"diff1",122
"diff1",-47
"diff1",14
"diff1",-36
"diff1",62
"diff1",31
"diff1",40
"diff1",12
"diff1",43
"diff1",-53
"diff1",6
"diff1",57
"diff1",-21
"diff1",90
"diff1",0
"diff1",-114
"diff1",-56
"diff1",-18
"diff1",-10
"diff1",-40
"diff1",48
"diff1",-59
"diff1",4
"diff1",-91
"diff1",-46
"diff1",-60
"diff1",108
"diff1",22
"diff1",-6
"diff1",63
"diff1",8
"diff1",64
"diff1",-15
"diff1",16
"diff1",27
"diff1",-110
"diff1",5
"diff1",17
"diff1",-102
"diff1",-11
"diff1",-112
"diff1",60
"diff1",16
"diff1",-10
"diff1",37
"diff1",52
"diff1",30
"diff1",36
"diff1",18
"diff1",0
"diff1",12
"diff1",27
"diff1",0
"diff1",15
"diff1",31
"diff1",-14
"diff1",-35
"diff1",-76
"diff1",23
"diff1",129
"diff1",49
"diff1",63
"diff1",-83
"diff1",-63
"diff1",65
"diff1",7
"diff1",109
"diff1",-106
"diff1",106
"diff1",88
"diff1",-19
"diff1",111
"diff1",5
"diff1",22
"diff1",-27
"diff1",9
"diff1",11
"diff1",-5
"diff1",-17
"diff1",-33
"diff1",-33
"diff1",-8
"diff1",3
"diff1",10
"diff1",84
"diff1",-42
"diff1",-47
"diff1",49
"diff1",33
"diff1",30
"diff1",34
"diff1",131
"diff1",0
"diff1",-38
"diff1",127
"diff1",6
"diff1",29
"diff1",15
"diff1",-113
"diff1",49
"diff1",-9
"diff1",14
"diff1",132
"diff1",7
"diff1",-7
"diff1",-24
"diff1",21
"diff1",15
"diff1",-127
"diff1",39
"diff1",-10
"diff1",15
"diff1",-114
"diff1",62
"diff1",-6
"diff1",-96
"diff1",82
"diff1",10
"diff1",13
"diff1",23
"diff1",4
"diff1",107
"diff1",-88
"diff1",31
"diff1",-7
"diff1",52
"diff1",-27
"diff1",1
"diff1",13
"diff1",-12
"diff1",23
"diff1",19
"diff1",-6
"diff1",14
"diff1",-13
"diff1",31
"diff1",4
"diff1",-2
"diff1",15
"diff1",-2
"diff1",20
"diff1",7
"diff1",9
"diff1",12
"diff1",7
"diff1",23
"diff1",15
"diff1",6
"diff1",26
"diff1",7
"diff1",-18
"diff1",-4
"diff1",7
"diff1",3
"diff1",-1
"diff1",23
"diff1",-7
"diff1",-5
"diff1",-6
"diff1",2
"diff1",1
"diff1",18
"diff1",18
"diff1",9
"diff1",11
"diff1",-18
"diff1",-4
"diff1",-3
"diff1",6
"diff1",2
"diff1",-13
"diff1",13
"diff1",-2
"diff1",17
"diff1",13
"diff1",2
"diff1",-12
"diff1",10
"diff1",-6
"diff1",-4
"diff1",3
"diff1",8
"diff1",-2
"diff1",25
"diff1",-4
"diff1",-12
"diff1",1
"diff1",-15
"diff1",18
"diff1",-6
"diff1",-1
"diff1",-3
"diff1",-6
"diff1",11
"diff1",-1
"diff1",7
"diff1",21
"diff1",7
"diff1",6
"diff1",14
"diff1",12
"diff1",0
"diff1",-23
"diff1",-10
"diff1",7
"diff1",-10
"diff1",-2
"diff1",16
"diff1",3
"diff1",3
"diff1",14
"diff1",0
"diff1",8
"diff1",-10
"diff1",16
"diff1",-5
"diff1",10
"diff1",-2
"diff1",-12
"diff1",-1
"diff1",10
"diff1",1
"diff1",13
"diff1",27
"diff1",11
"diff1",-10
"diff1",30
"diff1",-4
"diff1",-17
"diff1",14
"diff1",-2
"diff1",13
"diff1",30
"diff1",4
"diff1",-3
"diff1",-1
"diff1",6
"diff1",-5
"diff1",3
"diff1",5
"diff1",13
"diff1",3
"diff1",22
"diff1",7
"diff1",12
"diff1",13
"diff1",-2
"diff1",-7
"diff1",5
"diff1",13
"diff1",-14
"diff1",17
"diff1",2
"diff1",22
"diff1",1
"diff1",-7
