"variable","value"
"diff1",-116.3
"diff1",24.7
"diff1",9.7
"diff1",3.7
"diff1",-7.3
"diff1",-142.3
"diff1",66.7
"diff1",-72.3
"diff1",-81.3
"diff1",-121.3
"diff1",-6.3
"diff1",-149.3
"diff1",21.7
"diff1",-22.3
"diff1",-142.3
"diff1",-59.3
"diff1",47.7
"diff1",-13.3
"diff1",-111.3
"diff1",-26.3
"diff1",-12.3
"diff1",71.7
"diff1",19.7
"diff1",-40.3
"diff1",-11.3
"diff1",-24.3
"diff1",36.7
"diff1",-27.3
"diff1",-70.3
"diff1",-21.3
"diff1",-17.3
"diff1",-102.3
"diff1",91.7
"diff1",-51.3
"diff1",104.7
"diff1",-91.3
"diff1",-18.3
"diff1",-10.3
"diff1",-42.3
"diff1",72.7
"diff1",-150.3
"diff1",-17.3
"diff1",34.7
"diff1",-17.3
"diff1",-28.3
"diff1",-30.3
"diff1",-11.3
"diff1",-145.3
"diff1",-37.3
"diff1",1.7
"diff1",-71.3
"diff1",-4.3
"diff1",72.7
"diff1",-54.3
"diff1",-17.3
"diff1",-11.3
"diff1",-23.3
"diff1",-18.3
"diff1",-64.3
"diff1",19.7
"diff1",-11.3
"diff1",-64.3
"diff1",-35.3
"diff1",-17.3
"diff1",86.7
"diff1",-61.3
"diff1",-27.3
"diff1",-45.3
"diff1",16.7
"diff1",-51.3
"diff1",-1.3
"diff1",79.7
"diff1",-66.3
"diff1",-8.3
"diff1",-12.3
"diff1",-144.3
"diff1",-135.3
"diff1",-35.3
"diff1",96.7
"diff1",-17.3
"diff1",-31.3
"diff1",-44.3
"diff1",-17.3
"diff1",-34.3
"diff1",46.7
"diff1",16.7
"diff1",91.7
"diff1",-153.3
"diff1",-12.3
"diff1",-65.3
"diff1",-17.3
"diff1",20.7
"diff1",-15.3
"diff1",-37.3
"diff1",48.7
"diff1",-31.3
"diff1",-17.3
"diff1",-77.3
"diff1",17.7
"diff1",-148.3
"diff1",-148.3
"diff1",-72.3
"diff1",-48.3
"diff1",-35.3
"diff1",-5.3
"diff1",-146.3
"diff1",-39.3
"diff1",-69.3
"diff1",-16.3
"diff1",-5.3
"diff1",-99.3
"diff1",-31.3
"diff1",-39.3
"diff1",-17.3
"diff1",102.7
"diff1",-148.3
"diff1",-142.3
"diff1",-150.3
"diff1",-122.3
"diff1",4.7
"diff1",-53.3
"diff1",-136.3
"diff1",16.7
"diff1",-64.3
"diff1",102.7
"diff1",-79.3
"diff1",8.7
"diff1",-41.3
"diff1",60.7
"diff1",-76.3
