"variable","value"
"diff2",-80
"diff2",-73
"diff2",1
"diff2",1
"diff2",31
"diff2",-49
"diff2",-9
"diff2",57
"diff2",-52
"diff2",-2
"diff2",85
"diff2",11
"diff2",-17
"diff2",-5
"diff2",-16
"diff2",-23
"diff2",-9
"diff2",-44
"diff2",39
"diff2",41
"diff2",2
"diff2",75
"diff2",-96
"diff2",-42
"diff2",18
"diff2",-27
"diff2",-31
"diff2",-40
"diff2",0
"diff2",-17
"diff2",-8
"diff2",52
"diff2",-89
"diff2",12
"diff2",11
"diff2",16
"diff2",-89
"diff2",-6
"diff2",-48
"diff2",-94
"diff2",7
"diff2",6
"diff2",41
"diff2",-17
"diff2",-83
"diff2",-24
"diff2",39
"diff2",-7
"diff2",28
"diff2",38
"diff2",87
"diff2",16
"diff2",59
"diff2",37
"diff2",-49
"diff2",-35
"diff2",0
"diff2",85
"diff2",-9
"diff2",54
"diff2",6
"diff2",23
"diff2",59
"diff2",-36
"diff2",-46
"diff2",15
"diff2",4
"diff2",-32
"diff2",-38
"diff2",-9
"diff2",-8
"diff2",-93
"diff2",-5
"diff2",-31
"diff2",-3
"diff2",-87
"diff2",14
"diff2",52
"diff2",-57
"diff2",25
"diff2",-12
"diff2",-23
"diff2",-66
"diff2",-47
"diff2",-56
"diff2",57
"diff2",-13
"diff2",-98
"diff2",29
"diff2",2
"diff2",-3
"diff2",-5
"diff2",-51
"diff2",-78
"diff2",-18
"diff2",-16
"diff2",-32
"diff2",3
"diff2",82
"diff2",2
"diff2",-22
"diff2",-8
"diff2",9
"diff2",-7
"diff2",-27
"diff2",-16
"diff2",2
"diff2",-11
"diff2",-16
"diff2",10
"diff2",-9
"diff2",0
"diff2",-1
"diff2",-5
"diff2",-12
"diff2",-18
"diff2",-5
"diff2",2
"diff2",-7
"diff2",-4
"diff2",3
"diff2",3
"diff2",-25
"diff2",-18
"diff2",-7
"diff2",-32
"diff2",-14
"diff2",-10
"diff2",-22
"diff2",10
"diff2",-11
"diff2",-15
"diff2",-19
"diff2",-23
"diff2",5
"diff2",-3
"diff2",0
"diff2",-14
"diff2",-3
"diff2",-12
"diff2",-6
"diff2",1
"diff2",-20
"diff2",-5
"diff2",-24
"diff2",-5
"diff2",-15
"diff2",2
"diff2",-21
"diff2",-6
"diff2",1
"diff2",0
"diff2",-10
"diff2",-17
"diff2",5
"diff2",-8
"diff2",-25
"diff2",-19
"diff2",-22
"diff2",-9
"diff2",-9
"diff2",7
"diff2",-4
"diff2",-15
"diff2",-26
"diff2",-25
"diff2",-12
"diff2",2
"diff2",11
"diff2",4
"diff2",-12
"diff2",-18
"diff2",-3
"diff2",-8
"diff2",-28
"diff2",-16
"diff2",-14
"diff2",-12
"diff2",-3
"diff2",-16
"diff2",-14
"diff2",-14
"diff2",-13
"diff2",-11
"diff2",-18
"diff2",-15
"diff2",-20
"diff2",-7
"diff2",-26
"diff2",5
"diff2",3
"diff2",-22
"diff2",-4
"diff2",-4
"diff2",-6
"diff2",-16
"diff2",-2
"diff2",-13
"diff2",-3
"diff2",-11
"diff2",-10
"diff2",-9
"diff2",-12
"diff2",-8
"diff2",-2
"diff2",-6
"diff2",-7
"diff2",-13
"diff2",-11
"diff2",6
"diff2",-12
"diff2",-8
"diff2",4
"diff2",-8
"diff2",-19
"diff2",-8
"diff2",-10
"diff2",-14
"diff2",-23
"diff2",-19
"diff2",-13
"diff2",-5
"diff2",-14
"diff2",-26
"diff2",-6
"diff2",-8
"diff2",-9
"diff2",-16
"diff2",-9
"diff2",-11
"diff2",-15
"diff2",-18
"diff2",-14
"diff2",-16
"diff2",-23
"diff2",-4
"diff2",-17
"diff2",-5
"diff2",-17
"diff2",-12
"diff2",-2
"diff2",-19
"diff2",-7
"diff2",-15
"diff2",2
"diff2",0
"diff2",-19
"diff2",-5
"diff2",-10
"diff2",-4
"diff2",-9
"diff2",-5
"diff2",-16
"diff2",-18
"diff2",-13
"diff2",-15
"diff2",-18
"diff2",4
"diff2",0
"diff2",-10
"diff2",-10
"diff2",-8
"diff2",7
"diff2",-14
"diff2",-10
"diff2",-27
"diff2",-4
"diff2",-7
"diff2",-6
"diff2",-9
"diff2",1
"diff2",-22
"diff2",-14
"diff2",-12
"diff2",-23
"diff2",-17
"diff2",-14
"diff2",-10
"diff2",2
"diff2",-13
"diff2",-9
"diff2",2
"diff2",-21
"diff2",-18
"diff2",-5
"diff2",-8
"diff2",-14
"diff2",-1
"diff2",-16
"diff2",-8
"diff2",-16
"diff2",-23
"diff2",-16
"diff2",-10
"diff2",-18
"diff2",-10
"diff2",-13
"diff2",0
"diff2",-11
"diff2",-15
"diff2",-14
"diff2",-19
"diff2",-21
"diff2",-6
"diff2",-16
"diff2",-13
"diff2",-21
"diff2",-3
"diff2",-11
"diff2",-19
"diff2",-11
"diff2",-4
"diff2",-7
"diff2",-12
"diff2",-12
"diff2",-14
"diff2",-13
"diff2",-16
"diff2",-15
"diff2",-14
"diff2",-21
"diff2",-20
"diff2",-17
"diff2",-15
"diff2",-21
"diff2",-18
"diff2",-13
"diff2",-11
"diff2",-11
"diff2",-11
"diff2",-17
"diff2",-4
"diff2",-12
"diff2",-14
"diff2",-8
"diff2",-2
"diff2",-10
"diff2",-14
"diff2",-16
"diff2",-16
"diff2",-17
"diff2",-14
"diff2",-12
"diff2",-17
"diff2",-4
"diff2",-3
"diff2",-13
"diff2",-14
"diff2",-8
"diff2",-13
"diff2",-21
"diff2",-14
"diff2",-7
"diff2",-19
"diff2",-12
"diff2",-13
"diff2",-18
"diff2",-8
"diff2",-15
"diff2",-8
"diff2",-11
"diff2",-15
"diff2",-18
"diff2",-21
"diff2",-8
"diff2",-14
"diff2",-14
"diff2",-7
"diff2",-5
"diff2",-12
"diff2",-16
"diff2",-11
"diff2",-21
"diff2",-15
"diff2",-14
"diff2",-16
"diff2",-18
"diff2",-13
"diff2",-5
"diff2",-16
"diff2",-12
"diff2",-15
"diff2",-17
"diff2",-17
"diff2",-16
"diff2",-19
"diff2",-17
"diff2",-12
"diff2",-9
"diff2",-13
"diff2",-6
"diff2",-11
"diff2",-15
"diff2",-4
"diff2",-2
"diff2",-19
"diff2",-11
"diff2",-12
"diff2",-5
"diff2",-19
"diff2",-10
"diff2",-13
"diff2",-16
"diff2",-4
"diff2",-6
"diff2",-12
"diff2",-13
"diff2",-15
"diff2",-6
"diff2",-19
"diff2",-15
"diff2",-17
"diff2",-17
"diff2",-12
"diff2",-14
"diff2",-9
"diff2",-10
"diff2",-18
"diff2",-16
"diff2",-14
"diff2",-21
"diff2",-12
"diff2",-12
"diff2",-8
"diff2",-13
"diff2",-14
"diff2",-20
"diff2",-11
"diff2",-10
"diff2",-16
"diff2",-10
"diff2",-18
"diff2",-17
"diff2",-7
"diff2",-14
"diff2",-10
"diff2",-10
"diff2",-14
"diff2",-13
"diff2",-13
"diff2",-12
"diff2",-15
"diff2",-13
"diff2",-12
"diff2",-15
"diff2",-15
"diff2",-16
"diff2",-13
"diff2",-20
"diff2",-18
"diff2",-16
"diff2",-15
"diff2",-17
"diff2",-7
"diff2",-16
"diff2",-20
"diff2",-17
"diff2",-7
"diff2",-7
"diff2",-20
"diff2",-15
"diff2",-15
"diff2",-18
"diff2",-14
"diff2",-11
"diff2",-14
"diff2",-15
"diff2",-17
"diff2",-11
"diff2",-16
"diff2",-5
"diff2",-9
"diff2",-13
"diff2",-11
"diff2",-15
"diff2",-14
"diff2",-9
"diff2",-16
"diff2",-8
"diff2",-8
"diff2",-14
"diff2",-7
"diff2",-9
"diff2",-13
"diff2",-17
"diff2",-9
"diff2",-5
"diff2",-16
"diff2",-15
"diff2",-7
"diff2",-7
"diff2",-10
"diff2",-15
"diff2",-12
"diff2",-14
"diff2",-5
"diff2",-22
"diff2",-10
"diff2",-8
"diff2",-10
"diff2",-9
"diff2",-18
"diff2",-17
"diff2",-18
"diff2",-16
"diff2",-14
"diff2",-11
"diff2",-9
"diff2",-21
"diff2",-8
"diff2",-7
"diff2",-12
"diff2",-10
"diff2",-15
"diff2",-14
"diff2",-11
"diff2",-13
"diff2",-20
"diff2",-5
"diff2",-16
"diff2",-15
"diff2",-14
"diff2",-15
"diff2",-7
"diff2",-11
"diff2",-8
"diff2",-17
"diff2",-14
"diff2",-22
"diff2",-14
"diff2",-10
"diff2",-8
"diff2",-16
"diff2",-16
"diff2",-13
"diff2",-17
"diff2",-16
"diff2",-22
"diff2",-19
"diff2",-15
"diff2",-18
"diff2",-13
"diff2",-12
"diff2",-8
"diff2",-9
"diff2",-14
"diff2",-12
"diff2",-15
"diff2",-17
"diff2",-12
"diff2",-7
"diff2",-13
"diff2",-13
"diff2",-15
"diff2",-18
"diff2",-11
"diff2",-7
"diff2",-9
"diff2",-7
"diff2",-9
"diff2",-17
"diff2",-8
"diff2",-16
"diff2",-20
"diff2",-15
"diff2",-14
"diff2",-12
"diff2",-7
"diff2",-7
"diff2",-19
"diff2",-10
"diff2",-17
"diff2",-12
"diff2",-16
"diff2",-17
"diff2",-17
"diff2",-14
"diff2",-12
"diff2",-15
"diff2",-18
"diff2",-16
"diff2",-13
"diff2",-14
"diff2",-10
"diff2",-15
"diff2",-11
"diff2",-7
"diff2",-19
"diff2",-11
"diff2",-14
"diff2",-13
"diff2",-20
"diff2",-21
"diff2",-11
"diff2",-14
"diff2",-9
"diff2",-15
"diff2",-15
"diff2",-19
"diff2",-18
"diff2",-10
"diff2",-20
"diff2",-15
"diff2",-14
"diff2",-12
"diff2",-12
"diff2",-12
"diff2",-11
"diff2",-13
"diff2",-15
"diff2",-19
"diff2",-15
"diff2",-10
"diff2",-18
"diff2",-18
"diff2",-9
"diff2",-14
"diff2",-16
"diff2",-22
"diff2",-18
"diff2",-11
"diff2",-12
"diff2",-21
"diff2",-17
"diff2",-10
"diff2",-16
"diff2",-19
"diff2",-11
"diff2",-12
"diff2",-12
"diff2",-9
"diff2",-10
"diff2",-17
"diff2",-17
"diff2",-11
"diff2",-19
"diff2",-12
"diff2",-14
"diff2",-21
"diff2",-16
"diff2",-11
"diff2",-12
"diff2",-10
"diff2",-16
"diff2",-11
"diff2",-18
"diff2",-20
"diff2",-17
"diff2",-11
"diff2",-12
"diff2",-16
"diff2",-16
"diff2",-15
"diff2",-11
"diff2",-15
"diff2",-10
"diff2",-15
"diff2",-14
"diff2",-18
"diff2",-15
"diff2",-18
"diff2",-18
"diff2",-18
"diff2",-18
"diff2",-13
"diff2",-11
"diff2",-15
"diff2",-14
"diff2",-16
"diff2",-10
"diff2",-20
"diff2",-12
"diff2",-15
"diff2",-19
"diff2",-14
"diff2",-19
"diff2",-8
"diff2",-18
"diff2",-16
"diff2",-18
"diff2",-20
"diff2",-14
"diff2",-13
"diff2",-15
"diff2",-12
"diff2",-11
"diff2",-15
"diff2",-13
"diff2",-21
"diff2",-11
"diff2",-18
"diff2",-17
"diff2",-12
"diff2",-16
"diff2",-14
"diff2",-22
"diff2",-8
"diff2",-21
"diff2",-10
"diff2",-16
"diff2",-14
"diff2",-16
"diff2",-14
"diff2",-14
"diff2",-13
"diff2",-19
"diff2",-16
"diff2",-13
"diff2",-13
"diff2",-15
"diff2",-13
"diff2",-14
"diff2",-14
"diff2",-16
"diff2",-17
"diff2",-17
"diff2",-17
"diff2",-16
"diff2",-14
"diff2",-19
"diff2",-19
"diff2",-11
"diff2",-13
"diff2",-17
"diff2",-17
"diff2",-16
"diff2",-18
"diff2",-15
"diff2",-14
"diff2",-15
"diff2",-16
"diff2",-13
"diff2",-14
"diff2",-12
"diff2",-15
"diff2",-14
"diff2",-13
"diff2",-14
"diff2",-17
"diff2",-15
"diff2",-15
"diff2",-17
"diff2",-17
"diff2",-11
"diff2",-17
"diff2",-16
"diff2",-16
"diff2",-15
"diff2",-11
"diff2",-13
"diff2",-16
"diff2",-18
"diff2",-20
"diff2",-16
"diff2",-20
"diff2",-18
"diff2",-13
"diff2",-12
"diff2",-15
"diff2",-18
"diff2",-15
"diff2",-18
"diff2",-12
"diff2",-12
"diff2",-20
"diff2",-19
"diff2",-17
"diff2",-17
"diff2",-14
"diff2",-13
"diff2",-17
"diff2",-13
"diff2",-21
"diff2",-14
"diff2",-17
"diff2",-15
"diff2",-15
"diff2",-20
"diff2",-18
"diff2",-15
"diff2",-19
"diff2",-13
"diff2",-11
"diff2",-16
"diff2",-19
"diff2",-10
"diff2",-18
"diff2",-19
"diff2",-15
"diff2",-14
"diff2",-18
"diff2",-13
"diff2",-16
"diff2",-15
"diff2",-16
"diff2",-17
"diff2",-17
"diff2",-14
"diff2",-13
"diff2",-16
"diff2",-13
"diff2",-14
"diff2",-14
"diff2",-17
"diff2",-16
"diff2",-18
"diff2",-19
"diff2",-16
"diff2",-12
"diff2",-19
"diff2",-16
"diff2",-15
"diff2",-22
"diff2",-20
"diff2",-18
"diff2",-17
"diff2",-16
"diff2",-21
"diff2",-13
"diff2",-17
"diff2",-15
"diff2",-16
"diff2",-16
"diff2",-19
"diff2",-16
"diff2",-20
"diff2",-16
"diff2",-18
"diff2",-14
"diff2",-22
"diff2",-21
"diff2",-17
"diff2",-18
"diff2",-15
"diff2",-16
"diff2",-12
"diff2",-15
"diff2",-20
"diff2",-16
"diff2",-14
"diff2",-19
"diff2",-15
"diff2",-14
"diff2",-22
"diff2",-14
"diff2",-17
"diff2",-20
