"","variable","value"
"1","diff1",0.026
"2","diff1",0.037
"3","diff1",0.028
"4","diff1",0.049
"5","diff1",-0.0579999999999999
"6","diff1",0.0650000000000001
"7","diff1",0.039
"8","diff1",-0.00600000000000001
"9","diff1",-0.02
"10","diff1",0.02
"11","diff1",-0.005
"12","diff1",0.029
"13","diff1",-0.02
"14","diff1",0.025
"15","diff1",0.0640000000000001
"16","diff1",0.0860000000000001
"17","diff1",-0.004
"18","diff1",0.011
"19","diff1",0.033
"20","diff1",0.05
"21","diff1",0.033
"22","diff1",0.019
"23","diff1",-0.039
"24","diff1",0.036
"25","diff1",-0.028
"26","diff1",0.023
"27","diff1",-0.021
"28","diff1",0.049
"29","diff1",0.0780000000000001
"30","diff1",0.026
"31","diff1",0.092
"32","diff1",0.0640000000000001
"33","diff1",0.0620000000000001
"34","diff1",0.043
"35","diff1",-0.011
"36","diff1",0.015
"37","diff1",0.029
"38","diff1",0.0790000000000001
"39","diff1",0.053
"40","diff1",0.0790000000000001
"41","diff1",0.045
"42","diff1",-0.004
"43","diff1",0.0640000000000001
"44","diff1",0.022
"45","diff1",0.02
"46","diff1",0.034
"47","diff1",0.00600000000000001
"48","diff1",0.033
"49","diff1",-0.003
"50","diff1",0.0920000000000001
"51","diff1",-0.0389999999999999
"52","diff1",0.00600000000000001
"53","diff1",0.0640000000000001
"54","diff1",-0.02
"55","diff1",0.032
"56","diff1",0.0790000000000001
"57","diff1",0.045
"58","diff1",0.004
"59","diff1",0.101
"60","diff1",-0.011
"61","diff1",0.034
"62","diff1",0.019
"63","diff1",0.0600000000000001
"64","diff1",-0.022
"65","diff1",-0.035
"66","diff1",0.0730000000000001
"67","diff1",-0.002
"68","diff1",-0.005
"69","diff1",0.046
"70","diff1",0.022
"71","diff1",0.004
"72","diff1",0.051
"73","diff1",0.005
"74","diff1",0.023
"75","diff1",0.0750000000000001
"76","diff1",0.029
"77","diff1",0.04
"78","diff1",0.033
"79","diff1",0.021
"80","diff1",0
"81","diff1",0.015
"82","diff1",0.00800000000000001
"83","diff1",0.0760000000000001
"84","diff1",0.0760000000000001
"85","diff1",-0.014
"86","diff1",0.027
"87","diff1",-0.026
"88","diff1",0.036
"89","diff1",0.028
"90","diff1",0.0609999999999999
"91","diff1",0.045
"92","diff1",0.028
"93","diff1",0.043
"94","diff1",0.056
"95","diff1",-0.026
"96","diff1",-0.001
"97","diff1",0.016
"98","diff1",0.025
"99","diff1",0.0640000000000001
"100","diff1",0.005
"101","diff1",0.041
"102","diff1",0.053
"103","diff1",0.047
"104","diff1",0.047
"105","diff1",-0.002
"106","diff1",0.027
"107","diff1",0.018
"108","diff1",0.015
"109","diff1",-0.00600000000000001
"110","diff1",0.0760000000000001
"111","diff1",0.0840000000000001
"112","diff1",0.034
"113","diff1",-0.011
"114","diff1",0.011
"115","diff1",-0.03
"116","diff1",0.004
"117","diff1",0.084
"118","diff1",0.0600000000000001
"119","diff1",0.0459999999999999
"120","diff1",0.0760000000000001
"121","diff1",0.0590000000000001
"122","diff1",0.01
"123","diff1",-0.016
"124","diff1",0.0660000000000001
"125","diff1",0.003
"126","diff1",0.014
"127","diff1",0.032
"128","diff1",0.033
"129","diff1",0.031
"130","diff1",0.025
"131","diff1",0.043
"132","diff1",0.0790000000000001
"133","diff1",0.021
"134","diff1",-0.011
"135","diff1",0.025
"136","diff1",0.042
"137","diff1",0.035
"138","diff1",-0.00600000000000001
"139","diff1",-0.047
"140","diff1",0.025
"141","diff1",0.0720000000000001
"142","diff1",0.048
"143","diff1",-0.012
"144","diff1",0.015
"145","diff1",-0.039
"146","diff1",-0.014
"147","diff1",0.0720000000000001
"148","diff1",0.012
"149","diff1",0.041
"150","diff1",0.016
"151","diff1",-0.00700000000000001
"152","diff1",0.049
"153","diff1",0.002
"154","diff1",0.028
"155","diff1",0.041
"156","diff1",0.031
"157","diff1",0.054
"158","diff1",0.051
"159","diff1",0.055
"160","diff1",0.037
"161","diff1",0.0670000000000001
"162","diff1",0.02
"163","diff1",0.083
"164","diff1",-0.031
"165","diff1",0.037
"166","diff1",0
"167","diff1",0.001
"168","diff1",0.028
"169","diff1",0.043
"170","diff1",-0.005
"171","diff1",0.012
"172","diff1",-0.00900000000000001
"173","diff1",0.004
"174","diff1",0.0640000000000001
"175","diff1",0.0609999999999999
"176","diff1",0.018
"177","diff1",0.03
"178","diff1",0.049
"179","diff1",0.0760000000000001
"180","diff1",0.0570000000000001
"181","diff1",0.0570000000000001
"182","diff1",0.024
"183","diff1",0.023
"184","diff1",0.0880000000000001
"185","diff1",0.034
"186","diff1",0.015
"187","diff1",0.018
"188","diff1",0.044
"189","diff1",0.11
"190","diff1",0.0399999999999999
"191","diff1",0.037
"192","diff1",-0.004
"193","diff1",0.0700000000000001
"194","diff1",0.011
"195","diff1",-0.014
"196","diff1",0.028
"197","diff1",0.046
"198","diff1",0.0820000000000001
"199","diff1",0.03
"200","diff1",0.01
"201","diff1",0.0570000000000001
"202","diff1",0.0600000000000001
"203","diff1",0.036
"204","diff1",0.019
"205","diff1",-0.035
"206","diff1",-0.046
"207","diff1",0.002
"208","diff1",0.002
"209","diff1",0.00900000000000001
"210","diff1",-0.013
"211","diff1",0.00600000000000001
"212","diff1",0.055
"213","diff1",0.037
"214","diff1",0.004
"215","diff1",0.024
"216","diff1",0.034
"217","diff1",-0.015
"218","diff1",0.025
"219","diff1",0.089
"220","diff1",0.037
"221","diff1",0.037
"222","diff1",0.035
"223","diff1",-0.00600000000000001
"224","diff1",0.053
"225","diff1",0.014
"226","diff1",0.039
"227","diff1",0.034
"228","diff1",0.042
"229","diff1",-0.047
"230","diff1",0.11
"231","diff1",0.014
"232","diff1",0.039
"233","diff1",-0.02
"234","diff1",0.002
"235","diff1",-0.0660000000000001
"236","diff1",0
"237","diff1",0.0830000000000001
"238","diff1",0.075
"239","diff1",0.0760000000000001
"240","diff1",0.0780000000000001
"241","diff1",0.00600000000000001
"242","diff1",0.0720000000000001
"243","diff1",0.025
"244","diff1",0.018
"245","diff1",-0.001
"246","diff1",0.0690000000000001
"247","diff1",0.0650000000000001
"248","diff1",0.019
"249","diff1",0.015
"250","diff1",0.0670000000000001
"251","diff1",0
"252","diff1",0.0570000000000001
"253","diff1",0.024
"254","diff1",0.00700000000000001
"255","diff1",0.0600000000000001
"256","diff1",0.0650000000000001
"257","diff1",0.014
"258","diff1",0.02
"259","diff1",0.033
"260","diff1",-0.036
"261","diff1",0.049
"262","diff1",0.0730000000000001
"263","diff1",0.00700000000000001
"264","diff1",0.039
"265","diff1",-0.05
"266","diff1",0.0620000000000001
"267","diff1",0.019
"268","diff1",0.035
"269","diff1",0.031
"270","diff1",0.0630000000000001
"271","diff1",0.025
"272","diff1",0.026
"273","diff1",0.011
"274","diff1",0.0950000000000001
"275","diff1",0.00800000000000001
"276","diff1",0.0700000000000001
"277","diff1",-0.038
"278","diff1",0.032
"279","diff1",0.04
"280","diff1",0.025
"281","diff1",0.005
"282","diff1",-0.012
"283","diff1",0.0529999999999999
"284","diff1",0.012
"285","diff1",0.037
"286","diff1",0.003
"287","diff1",0.005
"288","diff1",0.005
"289","diff1",0.00800000000000001
"290","diff1",0.034
"291","diff1",-0.0189999999999999
"292","diff1",-0.005
"293","diff1",0.046
"294","diff1",0.029
"295","diff1",0.034
