"","variable","value"
"1","diff2",0.067
"2","diff2",0.028
"3","diff2",0.074
"4","diff2",0.09
"5","diff2",0.098
"6","diff2",0.072
"7","diff2",0.047
"8","diff2",0.091
"9","diff2",0.109
"10","diff2",0.052
"11","diff2",0.028
"12","diff2",0.079
"13","diff2",0.069
"14","diff2",0.112
"15","diff2",0.062
"16","diff2",0.057
"17","diff2",0.055
"18","diff2",0.069
"19","diff2",0.07
"20","diff2",0.085
"21","diff2",0.108
"22","diff2",0.073
"23","diff2",0.112
"24","diff2",0.046
"25","diff2",0.094
"26","diff2",0.075
"27","diff2",0.074
"28","diff2",0.066
"29","diff2",0.091
"30","diff2",0.099
"31","diff2",0.05
"32","diff2",0.083
"33","diff2",0.096
"34","diff2",0.074
"35","diff2",0.057
"36","diff2",0.06
"37","diff2",0.103
"38","diff2",0.101
"39","diff2",0.104
"40","diff2",0.076
"41","diff2",0.051
"42","diff2",0.071
"43","diff2",0.056
"44","diff2",0.064
"45","diff2",0.058
"46","diff2",0.057
"47","diff2",0.091
"48","diff2",0.059
"49","diff2",0.087
"50","diff2",0.065
"51","diff2",0.059
"52","diff2",0.095
"53","diff2",0.103
"54","diff2",0.065
"55","diff2",0.052
"56","diff2",0.075
"57","diff2",0.09
"58","diff2",0.095
"59","diff2",0.062
"60","diff2",0.069
"61","diff2",0.114
"62","diff2",0.088
"63","diff2",0.0189999999999999
"64","diff2",0.048
"65","diff2",0.093
"66","diff2",0.022
"67","diff2",0.051
"68","diff2",0.059
"69","diff2",0.067
"70","diff2",0.064
"71","diff2",0.025
"72","diff2",0.052
"73","diff2",0.086
"74","diff2",0.089
"75","diff2",0.042
"76","diff2",0.059
"77","diff2",0.091
"78","diff2",0.053
"79","diff2",0.108
"80","diff2",0.087
"81","diff2",0.097
"82","diff2",0.067
"83","diff2",0.073
"84","diff2",0.076
"85","diff2",0.098
"86","diff2",0.063
"87","diff2",0.087
"88","diff2",0.056
"89","diff2",0.125
"90","diff2",0.096
"91","diff2",0.074
"92","diff2",0.096
"93","diff2",0.065
"94","diff2",0.081
"95","diff2",0.097
"96","diff2",0.096
"97","diff2",0.071
"98","diff2",0.087
"99","diff2",0.069
"100","diff2",0.075
"101","diff2",0.06
"102","diff2",0.079
"103","diff2",0.062
"104","diff2",0.072
"105","diff2",0.071
"106","diff2",0.044
"107","diff2",0.08
"108","diff2",0.059
"109","diff2",0.067
"110","diff2",0.065
"111","diff2",0.105
"112","diff2",0.066
"113","diff2",0.057
"114","diff2",0.086
"115","diff2",0.071
"116","diff2",0.071
"117","diff2",0.058
"118","diff2",0.091
"119","diff2",0.069
"120","diff2",0.078
"121","diff2",0.088
"122","diff2",0.064
"123","diff2",0.092
"124","diff2",0.092
"125","diff2",0.09
"126","diff2",0.077
"127","diff2",0.068
"128","diff2",0.066
"129","diff2",0.096
"130","diff2",0.066
"131","diff2",0.092
