"","variable","value"
"1","uncleaned",61
"2","uncleaned",84
"3","uncleaned",84
"4","uncleaned",70
"5","uncleaned",36
"6","uncleaned",22
"7","uncleaned",73
"8","uncleaned",68
"9","uncleaned",0
"10","uncleaned",89
"11","uncleaned",27
"12","uncleaned",75
"13","uncleaned",59
"14","uncleaned",0
"15","uncleaned",60
"16","uncleaned",85
"17","uncleaned",89
"18","uncleaned",0
"19","uncleaned",49
"20","uncleaned",77
"21","uncleaned",19
"22","uncleaned",0
"23","uncleaned",50
"24","uncleaned",89
"25","uncleaned",0
"26","uncleaned",47
"27","uncleaned",0
"28","uncleaned",0
"29","uncleaned",61
"30","uncleaned",85
"31","uncleaned",66
"32","uncleaned",66
"33","uncleaned",44
"34","uncleaned",0
"35","uncleaned",66
"36","uncleaned",68
"37","uncleaned",39
"38","uncleaned",46
"39","uncleaned",0
"40","uncleaned",0
"41","uncleaned",19
"42","uncleaned",75
"43","uncleaned",81
"44","uncleaned",0
"45","uncleaned",43
"46","uncleaned",83
"47","uncleaned",0
"48","uncleaned",84
"49","uncleaned",78
"50","uncleaned",79
"51","uncleaned",0
"52","uncleaned",3
"53","uncleaned",90
"54","uncleaned",0
"55","uncleaned",0
"56","uncleaned",12
"57","uncleaned",83
"58","uncleaned",83
"59","uncleaned",83
"60","uncleaned",0
"61","uncleaned",79
"62","uncleaned",0
"63","uncleaned",48
"64","uncleaned",0
"65","uncleaned",81
"66","uncleaned",0
"67","uncleaned",84
"68","uncleaned",86
"69","uncleaned",81
"70","uncleaned",0
"71","uncleaned",0
"72","uncleaned",0
"73","uncleaned",79
"74","uncleaned",0
"75","uncleaned",0
"76","uncleaned",0
"77","uncleaned",87
"78","uncleaned",0
"79","uncleaned",39
"80","uncleaned",24
"81","uncleaned",69
"82","uncleaned",89
"83","uncleaned",85
"84","uncleaned",0
"85","uncleaned",58
"86","uncleaned",57
"87","uncleaned",1
"88","uncleaned",17
"89","uncleaned",0
"90","uncleaned",0
"91","uncleaned",72
"92","uncleaned",25
"93","uncleaned",37
"94","uncleaned",0
"95","uncleaned",69
"96","uncleaned",64
"97","uncleaned",71
"98","uncleaned",0
"99","uncleaned",81
"100","uncleaned",82
"101","uncleaned",119
"102","uncleaned",118
"103","uncleaned",109
"104","uncleaned",116
"105","uncleaned",122
"106","uncleaned",119
"107","uncleaned",111
"108","uncleaned",115
"109","uncleaned",116
"110","uncleaned",111
"111","uncleaned",120
"112","uncleaned",102
"113","uncleaned",119
"114","uncleaned",121
"115","uncleaned",99
"116","uncleaned",93
"117","uncleaned",111
"118","uncleaned",115
"119","uncleaned",104
"120","uncleaned",119
"121","uncleaned",95
"122","uncleaned",121
"123","uncleaned",107
"124","uncleaned",112
"125","uncleaned",113
"126","uncleaned",119
"127","uncleaned",107
"128","uncleaned",92
"129","uncleaned",121
"130","uncleaned",109
"131","uncleaned",94
"132","uncleaned",117
"133","uncleaned",103
"134","uncleaned",120
"135","uncleaned",119
"136","uncleaned",106
"137","uncleaned",120
"138","uncleaned",110
"139","uncleaned",113
"140","uncleaned",120
"141","uncleaned",115
"142","uncleaned",98
"143","uncleaned",117
"144","uncleaned",94
"145","uncleaned",107
"146","uncleaned",113
"147","uncleaned",99
"148","uncleaned",111
"149","uncleaned",97
"150","uncleaned",97
"151","uncleaned",121
"152","uncleaned",95
"153","uncleaned",99
"154","uncleaned",113
"155","uncleaned",118
"156","uncleaned",119
"157","uncleaned",121
"158","uncleaned",91
"159","uncleaned",111
"160","uncleaned",110
"161","uncleaned",106
"162","uncleaned",110
"163","uncleaned",121
"164","uncleaned",121
"165","uncleaned",112
"166","uncleaned",119
"167","uncleaned",106
"168","uncleaned",117
"169","uncleaned",103
"170","uncleaned",120
"171","uncleaned",116
"172","uncleaned",121
"173","uncleaned",119
"174","uncleaned",104
"175","uncleaned",101
"176","uncleaned",115
"177","uncleaned",109
"178","uncleaned",118
"179","uncleaned",119
"180","uncleaned",100
"181","uncleaned",120
"182","uncleaned",119
"183","uncleaned",107
"184","uncleaned",121
"185","uncleaned",106
"186","uncleaned",115
"187","uncleaned",113
"188","uncleaned",97
"189","uncleaned",96
"190","uncleaned",104
"191","uncleaned",97
"192","uncleaned",111
"193","uncleaned",120
"194","uncleaned",111
"195","uncleaned",104
"196","uncleaned",102
"197","uncleaned",103
"198","uncleaned",120
"199","uncleaned",121
"200","uncleaned",96
"201","uncleaned",134
"202","uncleaned",126
"203","uncleaned",129
"204","uncleaned",134
"205","uncleaned",134
"206","uncleaned",134
"207","uncleaned",131
"208","uncleaned",125
"209","uncleaned",135
"210","uncleaned",125
"211","uncleaned",135
"212","uncleaned",129
"213","uncleaned",125
"214","uncleaned",139
"215","uncleaned",138
"216","uncleaned",130
"217","uncleaned",132
"218","uncleaned",136
"219","uncleaned",122
"220","uncleaned",137
"221","uncleaned",125
"222","uncleaned",136
"223","uncleaned",124
"224","uncleaned",132
"225","uncleaned",126
"226","uncleaned",123
"227","uncleaned",131
"228","uncleaned",127
"229","uncleaned",123
"230","uncleaned",130
"231","uncleaned",137
"232","uncleaned",129
"233","uncleaned",127
"234","uncleaned",123
"235","uncleaned",133
"236","uncleaned",124
"237","uncleaned",127
"238","uncleaned",130
"239","uncleaned",129
"240","uncleaned",130
"241","uncleaned",136
"242","uncleaned",133
"243","uncleaned",125
"244","uncleaned",123
"245","uncleaned",137
"246","uncleaned",131
"247","uncleaned",138
"248","uncleaned",136
"249","uncleaned",123
"250","uncleaned",132
"251","uncleaned",133
"252","uncleaned",123
"253","uncleaned",129
"254","uncleaned",136
"255","uncleaned",124
"256","uncleaned",129
"257","uncleaned",136
"258","uncleaned",124
"259","uncleaned",128
"260","uncleaned",130
"261","uncleaned",137
"262","uncleaned",138
"263","uncleaned",135
"264","uncleaned",127
"265","uncleaned",137
"266","uncleaned",137
"267","uncleaned",131
"268","uncleaned",134
"269","uncleaned",122
"270","uncleaned",137
"271","uncleaned",126
"272","uncleaned",126
"273","uncleaned",134
"274","uncleaned",133
"275","uncleaned",129
"276","uncleaned",128
"277","uncleaned",137
"278","uncleaned",134
