,variable,value
1,uncleaned,0.636069015
2,uncleaned,0.878657823
3,uncleaned,0.621469888
4,uncleaned,0.786845115
5,uncleaned,0.679813157
6,uncleaned,0.616541921
7,uncleaned,0.697024492
8,uncleaned,0.574050463
9,uncleaned,0.543656268
10,uncleaned,0.695981567
11,uncleaned,0.708217514
12,uncleaned,0.637933374
13,uncleaned,0.650495825
14,uncleaned,0.734021536
15,uncleaned,0.594264943
16,uncleaned,0.737575264
17,uncleaned,0.62189698
18,uncleaned,0.534436403
19,uncleaned,0.771876163
20,uncleaned,0.483975018
21,uncleaned,0.490788789
22,uncleaned,0.592799452
23,uncleaned,0.759756158
24,uncleaned,0.652948436
25,uncleaned,0.669243751
26,uncleaned,0.640886131
27,uncleaned,0.870098582
28,uncleaned,0.496961513
29,uncleaned,0.660338718
30,uncleaned,0.69834876
31,uncleaned,0.620930035
32,uncleaned,0.468373842
33,uncleaned,0.738300993
34,uncleaned,0.528826955
35,uncleaned,0.660057352
36,uncleaned,0.811419792
37,uncleaned,0.595317932
38,uncleaned,0.459438698
39,uncleaned,0.588375261
40,uncleaned,0.592137444
41,uncleaned,0.634598607
42,uncleaned,0.502839721
43,uncleaned,0.596227876
44,uncleaned,0.699654186
45,uncleaned,0.697281626
46,uncleaned,0.633004532
47,uncleaned,0.818327877
48,uncleaned,0.559049448
49,uncleaned,0.590596824
50,uncleaned,0.613642462
51,uncleaned,0.667893484
52,uncleaned,0.749710652
53,uncleaned,0.611394601
54,uncleaned,0.644159198
55,uncleaned,0.457276747
56,uncleaned,0.542065649
57,uncleaned,0.725288437
58,uncleaned,0.714719798
59,uncleaned,0.537925891
60,uncleaned,0.754898327
61,uncleaned,0.620977169
62,uncleaned,0.809595731
63,uncleaned,0.593711277
64,uncleaned,0.919183837
65,uncleaned,0.741129008
66,uncleaned,0.64938395
67,uncleaned,0.740714888
68,uncleaned,0.576044946
69,uncleaned,0.730614587
70,uncleaned,0.705487677
71,uncleaned,0.852163556
72,uncleaned,0.506129175
73,uncleaned,0.634770844
74,uncleaned,0.639488858
75,uncleaned,0.568661825
76,uncleaned,0.715630738
77,uncleaned,0.641233751
78,uncleaned,0.563878178
79,uncleaned,0.649236508
80,uncleaned,0.426165826
81,uncleaned,0.592781081
82,uncleaned,0.797804411
83,uncleaned,0.450966803
84,uncleaned,0.510345248
85,uncleaned,0.637534805
86,uncleaned,0.621159062
87,uncleaned,0.536343264
88,uncleaned,0.667087688
89,uncleaned,0.643931588
90,uncleaned,0.668071846
91,uncleaned,0.618661046
92,uncleaned,0.688320552
93,uncleaned,0.47289129
94,uncleaned,0.673308312
95,uncleaned,0.749782403
96,uncleaned,0.581148382
97,uncleaned,0.795771175
98,uncleaned,0.615896885
99,uncleaned,0.720607775
100,uncleaned,0.472878124
101,uncleaned,0.649937824
102,uncleaned,0.595957954
103,uncleaned,0.659308528
104,uncleaned,0.784848354
105,uncleaned,0.726993181
106,uncleaned,0.589169831
107,uncleaned,0.609630407
108,uncleaned,0.819731187
109,uncleaned,0.5938103
110,uncleaned,0.719182864
111,uncleaned,0.679149106
112,uncleaned,0.594504204
113,uncleaned,0.681822349
114,uncleaned,0.595795997
115,uncleaned,0.568270143
116,uncleaned,0.684318812
117,uncleaned,0.725185707
118,uncleaned,0.639666257
119,uncleaned,0.747003804
120,uncleaned,0.565059482
121,uncleaned,0.898439051
122,uncleaned,0.60211434
123,uncleaned,0.687050704
124,uncleaned,0.975002743
125,uncleaned,0.737894188
126,uncleaned,0.76449111
127,uncleaned,0.81818844
128,uncleaned,0.697165995
129,uncleaned,0.621486815
130,uncleaned,0.509583904
131,uncleaned,0.647192319
132,uncleaned,0.455845941
133,uncleaned,0.582163231
134,uncleaned,0.631484486
135,uncleaned,0.495574051
136,uncleaned,0.634777113
137,uncleaned,0.6847417
138,uncleaned,0.73926624
139,uncleaned,0.74201152
140,uncleaned,0.62957116
141,uncleaned,0.472129055
142,uncleaned,0.727059018
143,uncleaned,0.810112126
144,uncleaned,0.569905003
145,uncleaned,0.676921497
146,uncleaned,0.62425568
147,uncleaned,0.677354673
148,uncleaned,0.755356682
149,uncleaned,0.611901229
150,uncleaned,0.645572831
151,uncleaned,0.660690892
