,variable,value
1,uncleaned,1.789473684
2,uncleaned,1.952631579
3,uncleaned,1.357894737
4,uncleaned,2.473684211
5,uncleaned,2.121052632
6,uncleaned,1.205263158
7,uncleaned,2.973684211
8,uncleaned,0.826315789
9,uncleaned,2.336842105
10,uncleaned,2.226315789
11,uncleaned,1.994736842
12,uncleaned,1.352631579
13,uncleaned,2.847368421
14,uncleaned,1.384210526
15,uncleaned,3.405263158
16,uncleaned,2.131578947
17,uncleaned,1.7
18,uncleaned,2.068421053
19,uncleaned,2.757894737
20,uncleaned,1.526315789
21,uncleaned,0.847368421
22,uncleaned,2.094736842
23,uncleaned,1.863157895
24,uncleaned,2.036842105
25,uncleaned,1.368421053
26,uncleaned,1.057894737
27,uncleaned,1.657894737
28,uncleaned,2.531578947
29,uncleaned,2.015789474
30,uncleaned,2.331578947
31,uncleaned,1.731578947
32,uncleaned,2.821052632
33,uncleaned,1.305263158
34,uncleaned,1.863157895
35,uncleaned,1.410526316
36,uncleaned,2.084210526
37,uncleaned,2.263157895
38,uncleaned,2.236842105
39,uncleaned,2.752631579
40,uncleaned,1.463157895
41,uncleaned,1.6
42,uncleaned,1.478947368
43,uncleaned,1.973684211
44,uncleaned,2.021052632
45,uncleaned,2.294736842
46,uncleaned,1.868421053
47,uncleaned,0.889473684
48,uncleaned,1.794736842
49,uncleaned,1.168421053
50,uncleaned,1.621052632
51,uncleaned,2.431578947
52,uncleaned,2.652631579
53,uncleaned,2.052631579
54,uncleaned,1.647368421
55,uncleaned,1.326315789
56,uncleaned,0.626315789
57,uncleaned,2.136842105
58,uncleaned,2.326315789
59,uncleaned,2.268421053
60,uncleaned,1.684210526
61,uncleaned,1.910526316
62,uncleaned,1.678947368
63,uncleaned,1.947368421
64,uncleaned,1.8
65,uncleaned,1.752631579
66,uncleaned,1.647368421
67,uncleaned,1.847368421
68,uncleaned,1.378947368
69,uncleaned,1.721052632
70,uncleaned,2.689473684
71,uncleaned,1.757894737
72,uncleaned,2.142105263
73,uncleaned,1.994736842
74,uncleaned,1.668421053
75,uncleaned,1.852631579
76,uncleaned,1.984210526
77,uncleaned,1.836842105
78,uncleaned,1.884210526
79,uncleaned,1.973684211
80,uncleaned,1.610526316
81,uncleaned,2.163157895
82,uncleaned,1.252631579
83,uncleaned,1.742105263
84,uncleaned,2.7
85,uncleaned,1.552631579
86,uncleaned,1.7
87,uncleaned,1.878947368
88,uncleaned,2.273684211
89,uncleaned,1.431578947
90,uncleaned,2.378947368
91,uncleaned,2.184210526
92,uncleaned,1.942105263
93,uncleaned,2.078947368
94,uncleaned,1.784210526
95,uncleaned,1.847368421
96,uncleaned,1.657894737
97,uncleaned,1.389473684
98,uncleaned,1.284210526
99,uncleaned,2.173684211
100,uncleaned,1.347368421
101,uncleaned,2.352631579
102,uncleaned,1.452631579
103,uncleaned,1.973684211
104,uncleaned,2.110526316
105,uncleaned,1.878947368
106,uncleaned,1.347368421
107,uncleaned,2.868421053
108,uncleaned,1.436842105
109,uncleaned,2.626315789
110,uncleaned,1.668421053
111,uncleaned,2.094736842
112,uncleaned,1.947368421
113,uncleaned,1.310526316
114,uncleaned,2.510526316
115,uncleaned,2.021052632
116,uncleaned,1.963157895
117,uncleaned,1.673684211
118,uncleaned,1.326315789
119,uncleaned,1.884210526
120,uncleaned,2.663157895
121,uncleaned,0.705263158
122,uncleaned,1.336842105
123,uncleaned,1.394736842
124,uncleaned,2.194736842
125,uncleaned,2.315789474
126,uncleaned,2.173684211
127,uncleaned,1.7
128,uncleaned,1.636842105
129,uncleaned,1.068421053
130,uncleaned,2.873684211
131,uncleaned,1.442105263
132,uncleaned,2.031578947
133,uncleaned,1.926315789
134,uncleaned,2.252631579
135,uncleaned,1.936842105
136,uncleaned,1.452631579
137,uncleaned,1.989473684
138,uncleaned,1.684210526
139,uncleaned,1.689473684
140,uncleaned,1.673684211
141,uncleaned,2.142105263
142,uncleaned,2.484210526
143,uncleaned,1.694736842
144,uncleaned,2.284210526
145,uncleaned,2.105263158
146,uncleaned,1.594736842
147,uncleaned,1.557894737
148,uncleaned,1.457894737
149,uncleaned,1.494736842
150,uncleaned,2.478947368
151,uncleaned,1.394736842
152,uncleaned,1.778947368
153,uncleaned,1.726315789
154,uncleaned,1.352631579
155,uncleaned,1.605263158
156,uncleaned,2.194736842
157,uncleaned,0.947368421
158,uncleaned,2.126315789
159,uncleaned,2.026315789
160,uncleaned,2.905263158
161,uncleaned,0.626315789
162,uncleaned,1.205263158
163,uncleaned,1.631578947
164,uncleaned,1.463157895
165,uncleaned,2.294736842
166,uncleaned,2.205263158
167,uncleaned,1.789473684
168,uncleaned,1.415789474
169,uncleaned,1.826315789
170,uncleaned,3
171,uncleaned,1.968421053
172,uncleaned,1.315789474
173,uncleaned,2.810526316
174,uncleaned,1.463157895
175,uncleaned,1.657894737
176,uncleaned,1.478947368
177,uncleaned,2.036842105
178,uncleaned,2.505263158
179,uncleaned,1.710526316
180,uncleaned,2.157894737
181,uncleaned,2.152631579
182,uncleaned,1.726315789
183,uncleaned,1.426315789
184,uncleaned,1.705263158
185,uncleaned,2.652631579
186,uncleaned,2.168421053
187,uncleaned,1.657894737
188,uncleaned,0.705263158
189,uncleaned,2.3
190,uncleaned,1.889473684
191,uncleaned,1.210526316
192,uncleaned,1.547368421
193,uncleaned,1.905263158
194,uncleaned,2.384210526
195,uncleaned,1.605263158
196,uncleaned,1.594736842
197,uncleaned,1.6
198,uncleaned,2.057894737
199,uncleaned,1.678947368
200,uncleaned,1.668421053
201,uncleaned,0.726315789
202,uncleaned,2.384210526
203,uncleaned,1.810526316
204,uncleaned,2.036842105
205,uncleaned,1.894736842
206,uncleaned,1.510526316
207,uncleaned,2.610526316
208,uncleaned,1.968421053
209,uncleaned,1.821052632
210,uncleaned,2.205263158
211,uncleaned,1.742105263
212,uncleaned,2.089473684
213,uncleaned,1.857894737
214,uncleaned,1.868421053
215,uncleaned,1.089473684
216,uncleaned,1.610526316
217,uncleaned,1.873684211
218,uncleaned,1.715789474
219,uncleaned,2.278947368
220,uncleaned,2.142105263
221,uncleaned,2.631578947
222,uncleaned,2.578947368
223,uncleaned,1.726315789
224,uncleaned,2.173684211
225,uncleaned,2.2
226,uncleaned,1.921052632
227,uncleaned,2.768421053
228,uncleaned,2.231578947
229,uncleaned,0.926315789
230,uncleaned,1.184210526
231,uncleaned,1.636842105
232,uncleaned,3.447368421
233,uncleaned,2.621052632
234,uncleaned,1.273684211
235,uncleaned,1.715789474
236,uncleaned,1.757894737
237,uncleaned,2.215789474
238,uncleaned,1.494736842
239,uncleaned,1.889473684
240,uncleaned,2.4
241,uncleaned,2.531578947
242,uncleaned,2.484210526
243,uncleaned,1.494736842
244,uncleaned,1.084210526
245,uncleaned,1.831578947
246,uncleaned,2.315789474
247,uncleaned,1.373684211
248,uncleaned,2.052631579
249,uncleaned,2.021052632
250,uncleaned,1.9
251,uncleaned,2.152631579
252,uncleaned,1.531578947
253,uncleaned,1.594736842
254,uncleaned,1.715789474
255,uncleaned,2.5
256,uncleaned,1.847368421
257,uncleaned,1.363157895
258,uncleaned,2.357894737
259,uncleaned,1.673684211
260,uncleaned,2.021052632
261,uncleaned,2.078947368
262,uncleaned,2.142105263
263,uncleaned,1.994736842
264,uncleaned,1.257894737
265,uncleaned,1.173684211
266,uncleaned,2.015789474
267,uncleaned,0.9
268,uncleaned,2.005263158
269,uncleaned,2.552631579
270,uncleaned,2.015789474
271,uncleaned,1.621052632
272,uncleaned,2.015789474
273,uncleaned,1.705263158
274,uncleaned,1.815789474
275,uncleaned,1.847368421
276,uncleaned,1.721052632
277,uncleaned,1.052631579
278,uncleaned,1.568421053
279,uncleaned,1.315789474
280,uncleaned,2.278947368
281,uncleaned,2.436842105
282,uncleaned,2.368421053
283,uncleaned,1.926315789
284,uncleaned,2.352631579
285,uncleaned,1.915789474
286,uncleaned,1.4
287,uncleaned,1.426315789
288,uncleaned,2.305263158
289,uncleaned,0.694736842
290,uncleaned,2.057894737
291,uncleaned,1.410526316
292,uncleaned,1.805263158
293,uncleaned,2.121052632
294,uncleaned,0.242105263
295,uncleaned,1.989473684
296,uncleaned,1.678947368
297,uncleaned,1.431578947
298,uncleaned,1.252631579
299,uncleaned,1.605263158
300,uncleaned,1.163157895
301,uncleaned,2.568421053
302,uncleaned,1.268421053
303,uncleaned,2.131578947
304,uncleaned,2.268421053
305,uncleaned,2.157894737
306,uncleaned,2.557894737
307,uncleaned,1.163157895
308,uncleaned,2.526315789
309,uncleaned,1.905263158
310,uncleaned,0.763157895
311,uncleaned,1.994736842
312,uncleaned,1.721052632
313,uncleaned,1.568421053
314,uncleaned,2.110526316
315,uncleaned,2.447368421
316,uncleaned,1.336842105
317,uncleaned,3.015789474
318,uncleaned,1.526315789
319,uncleaned,1.668421053
320,uncleaned,2.868421053
321,uncleaned,2.715789474
322,uncleaned,1.752631579
323,uncleaned,1.257894737
324,uncleaned,1.8
325,uncleaned,0.984210526
326,uncleaned,1.768421053
327,uncleaned,1.984210526
328,uncleaned,1.489473684
329,uncleaned,2.136842105
330,uncleaned,3.110526316
331,uncleaned,1.468421053
332,uncleaned,1.426315789
333,uncleaned,1.3
334,uncleaned,1.678947368
335,uncleaned,2.073684211
336,uncleaned,2.026315789
337,uncleaned,1.315789474
338,uncleaned,2.247368421
339,uncleaned,2.168421053
340,uncleaned,2.378947368
341,uncleaned,0.684210526
342,uncleaned,2.047368421
343,uncleaned,2.673684211
344,uncleaned,1.852631579
345,uncleaned,1.531578947
346,uncleaned,1.768421053
347,uncleaned,2.431578947
348,uncleaned,1.994736842
349,uncleaned,2.268421053
350,uncleaned,2.368421053
351,uncleaned,1.294736842
352,uncleaned,1.468421053
353,uncleaned,1.068421053
354,uncleaned,1.321052632
355,uncleaned,2.163157895
356,uncleaned,1.731578947
357,uncleaned,1.289473684
358,uncleaned,2.205263158
359,uncleaned,1.768421053
360,uncleaned,1.310526316
361,uncleaned,2.078947368
362,uncleaned,2.021052632
363,uncleaned,2.026315789
364,uncleaned,2.594736842
365,uncleaned,1.621052632
366,uncleaned,1.105263158
367,uncleaned,1.610526316
368,uncleaned,2.321052632
369,uncleaned,1.994736842
370,uncleaned,2.342105263
371,uncleaned,1.842105263
372,uncleaned,1.642105263
373,uncleaned,2.073684211
374,uncleaned,1.921052632
375,uncleaned,2.052631579
376,uncleaned,1.431578947
377,uncleaned,2.157894737
378,uncleaned,2.321052632
379,uncleaned,1.868421053
380,uncleaned,1.584210526
381,uncleaned,2.010526316
382,uncleaned,1.126315789
383,uncleaned,1.847368421
384,uncleaned,2.210526316
385,uncleaned,3.121052632
386,uncleaned,1.526315789
387,uncleaned,1.963157895
388,uncleaned,1.231578947
389,uncleaned,1.752631579
390,uncleaned,1.821052632
391,uncleaned,1.384210526
392,uncleaned,2.394736842
393,uncleaned,2.005263158
394,uncleaned,1.473684211
395,uncleaned,2.126315789
396,uncleaned,1.989473684
397,uncleaned,2.663157895
398,uncleaned,1.036842105
399,uncleaned,1.931578947
400,uncleaned,1.957894737
401,uncleaned,2.489473684
402,uncleaned,1.710526316
403,uncleaned,2.073684211
404,uncleaned,2.557894737
405,uncleaned,2.284210526
406,uncleaned,1.205263158
407,uncleaned,2.115789474
408,uncleaned,1.073684211
409,uncleaned,2.905263158
410,uncleaned,2.042105263
411,uncleaned,0.894736842
412,uncleaned,2.878947368
413,uncleaned,1.973684211
414,uncleaned,1.873684211
415,uncleaned,0.973684211
416,uncleaned,1.6
417,uncleaned,2.068421053
418,uncleaned,2.136842105
419,uncleaned,1.510526316
420,uncleaned,1.636842105
421,uncleaned,2.042105263
422,uncleaned,1.636842105
423,uncleaned,1.805263158
424,uncleaned,2.605263158
425,uncleaned,1.484210526
426,uncleaned,1.578947368
427,uncleaned,1.221052632
428,uncleaned,1.8
429,uncleaned,1.331578947
430,uncleaned,1.384210526
431,uncleaned,2.163157895
432,uncleaned,1.973684211
433,uncleaned,1.721052632
434,uncleaned,1.478947368
435,uncleaned,1.763157895
436,uncleaned,2.252631579
437,uncleaned,1.831578947
438,uncleaned,1.442105263
439,uncleaned,1.310526316
440,uncleaned,0.173684211
441,uncleaned,2.126315789
442,uncleaned,2.073684211
443,uncleaned,1.673684211
444,uncleaned,1.5
445,uncleaned,1.205263158
446,uncleaned,0.826315789
447,uncleaned,0.889473684
448,uncleaned,2.421052632
449,uncleaned,2.184210526
450,uncleaned,2.378947368
451,uncleaned,1.489473684
452,uncleaned,2.210526316
453,uncleaned,2.021052632
454,uncleaned,1.989473684
455,uncleaned,1.515789474
456,uncleaned,2.078947368
457,uncleaned,2.326315789
458,uncleaned,1.863157895
459,uncleaned,1.784210526
460,uncleaned,1.147368421
461,uncleaned,1.926315789
462,uncleaned,1.668421053
463,uncleaned,1.384210526
464,uncleaned,2.094736842
465,uncleaned,2.473684211
466,uncleaned,2.510526316
467,uncleaned,1.605263158
468,uncleaned,1.642105263
469,uncleaned,2.026315789
470,uncleaned,1.678947368
471,uncleaned,2.442105263
472,uncleaned,1.889473684
473,uncleaned,1.963157895
474,uncleaned,1.910526316
475,uncleaned,1.531578947
476,uncleaned,2.036842105
477,uncleaned,1.905263158
478,uncleaned,0.952631579
479,uncleaned,2.478947368
480,uncleaned,1.315789474
481,uncleaned,1.3
482,uncleaned,1.926315789
483,uncleaned,1.331578947
484,uncleaned,2.489473684
485,uncleaned,1.915789474
486,uncleaned,1.689473684
487,uncleaned,1.021052632
488,uncleaned,1.631578947
489,uncleaned,1.168421053
490,uncleaned,2.110526316
491,uncleaned,2.126315789
492,uncleaned,2.684210526
493,uncleaned,1.942105263
494,uncleaned,1.489473684
495,uncleaned,2.478947368
496,uncleaned,2.215789474
497,uncleaned,2.036842105
498,uncleaned,1.884210526
499,uncleaned,2.268421053
500,uncleaned,1.731578947
501,uncleaned,2.668421053
502,uncleaned,1.573684211
503,uncleaned,2.763157895
504,uncleaned,2
505,uncleaned,2.526315789
506,uncleaned,0.789473684
507,uncleaned,1.847368421
508,uncleaned,1.242105263
509,uncleaned,1.536842105
510,uncleaned,1.926315789
511,uncleaned,1.684210526
512,uncleaned,1.152631579
513,uncleaned,1.457894737
514,uncleaned,1.631578947
515,uncleaned,2.552631579
516,uncleaned,1.552631579
517,uncleaned,3.410526316
518,uncleaned,1.463157895
519,uncleaned,1.110526316
520,uncleaned,0.994736842
521,uncleaned,1.542105263
522,uncleaned,1.557894737
523,uncleaned,1.726315789
524,uncleaned,1.284210526
525,uncleaned,1.957894737
526,uncleaned,1.357894737
527,uncleaned,1.9
528,uncleaned,1.836842105
529,uncleaned,2.031578947
530,uncleaned,2.510526316
531,uncleaned,1.4
532,uncleaned,0.836842105
533,uncleaned,2.447368421
534,uncleaned,1.557894737
535,uncleaned,2.384210526
536,uncleaned,1.952631579
537,uncleaned,1.626315789
538,uncleaned,1.247368421
539,uncleaned,1.278947368
540,uncleaned,3.036842105
541,uncleaned,0.484210526
542,uncleaned,2.178947368
543,uncleaned,1.563157895
544,uncleaned,2.031578947
545,uncleaned,1.468421053
546,uncleaned,2.505263158
547,uncleaned,3.163157895
548,uncleaned,1.378947368
549,uncleaned,2.463157895
550,uncleaned,1.726315789
551,uncleaned,3.178947368
552,uncleaned,1.347368421
553,uncleaned,1.368421053
554,uncleaned,2.136842105
555,uncleaned,2.189473684
556,uncleaned,1.178947368
557,uncleaned,2.026315789
558,uncleaned,2.915789474
559,uncleaned,2.405263158
560,uncleaned,1.905263158
561,uncleaned,2.436842105
562,uncleaned,1.221052632
563,uncleaned,1.5
564,uncleaned,2.284210526
565,uncleaned,1.621052632
566,uncleaned,2.173684211
567,uncleaned,0.4
568,uncleaned,1.842105263
