"","variable","value"
"1","uncleaned",32
"2","uncleaned",25
"3","uncleaned",30
"4","uncleaned",30
"5","uncleaned",28
"6","uncleaned",23
"7","uncleaned",31
"8","uncleaned",31
"9","uncleaned",31
"10","uncleaned",24
"11","uncleaned",23
"12","uncleaned",29
"13","uncleaned",22
"14","uncleaned",24
"15","uncleaned",30
"16","uncleaned",27
"17","uncleaned",30
"18","uncleaned",32
"19","uncleaned",32
"20","uncleaned",27
"21","uncleaned",31
"22","uncleaned",31
"23","uncleaned",29
"24","uncleaned",32
"25","uncleaned",30
"26","uncleaned",32
"27","uncleaned",24
"28","uncleaned",33
"29","uncleaned",27
"30","uncleaned",31
"31","uncleaned",27
"32","uncleaned",28
"33","uncleaned",27
"34","uncleaned",28
"35","uncleaned",29
"36","uncleaned",23
"37","uncleaned",31
"38","uncleaned",27
"39","uncleaned",28
"40","uncleaned",32
"41","uncleaned",22
"42","uncleaned",32
"43","uncleaned",26
"44","uncleaned",26
"45","uncleaned",26
"46","uncleaned",28
"47","uncleaned",26
"48","uncleaned",24
"49","uncleaned",26
"50","uncleaned",27
"51","uncleaned",20
"52","uncleaned",31
"53","uncleaned",28
"54","uncleaned",25
"55","uncleaned",21
"56","uncleaned",25
"57","uncleaned",23
"58","uncleaned",33
"59","uncleaned",32
"60","uncleaned",27
"61","uncleaned",30
"62","uncleaned",33
"63","uncleaned",25
"64","uncleaned",29
"65","uncleaned",33
"66","uncleaned",28
"67","uncleaned",30
"68","uncleaned",30
"69","uncleaned",26
"70","uncleaned",31
"71","uncleaned",32
"72","uncleaned",22
"73","uncleaned",18
"74","uncleaned",28
"75","uncleaned",32
"76","uncleaned",31
"77","uncleaned",31
"78","uncleaned",31
"79","uncleaned",22
"80","uncleaned",19
"81","uncleaned",29
"82","uncleaned",24
"83","uncleaned",28
"84","uncleaned",28
"85","uncleaned",32
"86","uncleaned",27
"87","uncleaned",31
"88","uncleaned",28
"89","uncleaned",18
"90","uncleaned",31
"91","uncleaned",30
"92","uncleaned",31
"93","uncleaned",29
"94","uncleaned",28
"95","uncleaned",31
"96","uncleaned",32
"97","uncleaned",33
"98","uncleaned",33
"99","uncleaned",26
"100","uncleaned",32
"101","uncleaned",17
"102","uncleaned",25
"103","uncleaned",32
"104","uncleaned",33
"105","uncleaned",18
"106","uncleaned",31
"107","uncleaned",25
"108","uncleaned",30
"109","uncleaned",26
"110","uncleaned",26
"111","uncleaned",30
"112","uncleaned",32
"113","uncleaned",30
"114","uncleaned",31
"115","uncleaned",29
