Gene_ID,uncleaned,cloak,divvier,taper,divvierpf,gene_cloak,gene_divvier,gene_taper,gene_divvierpf,propagate
1,0.636069015,0.662069015,0.678069015,0.706069015,0.715069015,0.718069015,0.695069015,0.729069015,0.681069015,0.699069015
2,0.609630407,0.627630407,0.711630407,0.633630407,0.669630407,0.742630407,0.692630407,0.730630407,0.683630407,0.695630407
3,0.621469888,0.649469888,0.647469888,0.644469888,0.660469888,0.683469888,0.675469888,0.661469888,0.664469888,0.698469888
4,0.786845115,0.835845115,0.850845115,0.804845115,0.805845115,0.834845115,0.816845115,0.843845115,0.792845115,0.816845115
5,0.679813157,0.621813157,0.720813157,0.723813157,0.735813157,0.760813157,0.712813157,0.740813157,0.717813157,0.741813157
6,0.616541921,0.681541921,0.709541921,0.664541921,0.728541921,0.718541921,0.663541921,0.684541921,0.663541921,0.688541921
7,0.697024492,0.736024492,0.754024492,0.707024492,0.724024492,0.752024492,0.715024492,0.714024492,0.729024492,0.737024492
8,0.574050463,0.568050463,0.609050463,0.606050463,0.591050463,0.632050463,0.599050463,0.608050463,0.598050463,0.612050463
9,0.543656268,0.523656268,0.534656268,0.603656268,0.612656268,0.624656268,0.595656268,0.620656268,0.568656268,0.590656268
10,0.695981567,0.715981567,0.725981567,0.714981567,0.743981567,0.744981567,0.774981567,0.766981567,0.720981567,0.772981567
11,0.708217514,0.703217514,0.683217514,0.697217514,0.743217514,0.837217514,0.787217514,0.786217514,0.768217514,0.784217514
12,0.637933374,0.666933374,0.654933374,0.661933374,0.614933374,0.708933374,0.690933374,0.734933374,0.699933374,0.719933374
13,0.650495825,0.630495825,0.730495825,0.683495825,0.705495825,0.735495825,0.702495825,0.728495825,0.689495825,0.691495825
14,0.734021536,0.759021536,0.757021536,0.760021536,0.826021536,0.822021536,0.769021536,0.794021536,0.805021536,0.784021536
15,0.594264943,0.658264943,0.671264943,0.651264943,0.674264943,0.691264943,0.645264943,0.682264943,0.668264943,0.664264943
16,0.737575264,0.823575264,0.854575264,0.815575264,0.817575264,0.827575264,0.785575264,0.793575264,0.799575264,0.812575264
17,0.62189698,0.61789698,0.63189698,0.59589698,0.63389698,0.68289698,0.63589698,0.65789698,0.63889698,0.68489698
18,0.534436403,0.545436403,0.612436403,0.584436403,0.585436403,0.580436403,0.578436403,0.571436403,0.557436403,0.597436403
19,0.771876163,0.804876163,0.840876163,0.816876163,0.848876163,0.846876163,0.875876163,0.869876163,0.844876163,0.851876163
20,0.483975018,0.533975018,0.496975018,0.467975018,0.549975018,0.565975018,0.559975018,0.563975018,0.574975018,0.576975018
21,0.490788789,0.523788789,0.522788789,0.578788789,0.557788789,0.565788789,0.579788789,0.559788789,0.545788789,0.589788789
22,0.592799452,0.611799452,0.607799452,0.640799452,0.607799452,0.699799452,0.655799452,0.723799452,0.629799452,0.690799452
23,0.759756158,0.720756158,0.795756158,0.782756158,0.808756158,0.857756158,0.836756158,0.881756158,0.859756158,0.843756158
24,0.652948436,0.688948436,0.694948436,0.699948436,0.743948436,0.686948436,0.668948436,0.668948436,0.678948436,0.687948436
25,0.669243751,0.641243751,0.657243751,0.681243751,0.683243751,0.743243751,0.710243751,0.707243751,0.688243751,0.727243751
26,0.640886131,0.663886131,0.719886131,0.673886131,0.659886131,0.754886131,0.723886131,0.739886131,0.704886131,0.733886131
